ward,precinct,ward_precinct,voted_biden,voted_trump,voter_turnout
17,02,1702,87.9,10.8,67.6
17,03,1703,91.2,7.1,64.6
17,04,1704,86.4,12,73
17,05,1705,93.9,5.3,59.6
17,06,1706,91,7.8,67
17,07,1707,93.8,5.4,60.3
17,08,1708,92.4,6.3,63.1
17,09,1709,91.3,6.8,72.1
17,10,1710,93.3,5.9,60.5
17,11,1711,92.9,4.9,59.1
17,12,1712,92,7.3,75.2
17,13,1713,79.9,18.1,74.7
17,14,1714,85.5,12.7,72
17,total,1700,89.6,9,66.5
19,01,1901,94,3.6,73.7
19,02,1902,81.6,16.1,85
19,03,1903,92.6,5.8,81.3
19,04,1904,96,2.2,78
19,05,1905,91.5,6.9,76.1
19,06,1906,95.3,3.6,81.3
19,07,1907,91.7,6.3,75.3
19,08,1908,93.1,4.8,80.5
19,09,1909,92,5.9,82.9
19,10,1910,87.5,11.6,76.8
19,11,1911,89,9.6,65.5
19,12,1912,88.1,11.2,79.9
19,13,1913,85.9,12.3,69.8
19,total,1900,90.6,7.7,77
20,01,2001,79.5,18.5,78.7
20,02,2002,82.9,15.5,75.8
20,03,2003,69.2,28.5,72.1
20,04,2004,88.2,10.3,84.6
20,05,2005,69,29.8,78.7
20,06,2006,73.5,23.8,84.6
20,07,2007,76.2,20.8,84.5
20,08,2008,79.6,18.6,79.1
20,09,2009,78,20.5,78.6
20,10,2010,68.2,29.7,80.8
20,11,2011,74.8,23.1,84.6
20,12,2012,70.8,26.5,85.9
20,13,2013,68,30.4,84.1
20,14,2014,69.5,27.3,86.3
20,15,2015,65.4,33.2,77.1
20,16,2016,61.7,35.3,78
20,17,2017,67.4,30.9,84
20,18,2018,74.9,23.2,80.2
20,19,2019,69.8,27.9,86
20,20,2020,72.8,25.7,77.8
20,total,2000,72.5,25.5,80.4
21,01,2101,91.2,6.8,65.8
21,02,2102,90.8,7.3,43.1
21,03,2103,88,8.2,56
21,04,2104,89,7,60.4
21,05,2105,89.9,7.4,59.6
21,06,2106,87.9,9,69.4
21,07,2107,87.2,10.2,62.9
21,08,2108,89.9,7.2,67.1
21,09,2109,86.6,11.1,65.7
21,10,2110,84.6,13.6,63.9
21,11,2111,88.1,9.4,68.5
21,12,2112,79.2,17.4,66.9
21,13,2113,71.7,25.8,69.4
21,14,2114,87.8,9.4,69.9
21,15,2115,88.9,7.8,66.4
21,16,2116,80.9,15.8,73.2
21,total,2100,85.7,11.6,65.1
22,01,2201,85.6,11.1,62.5
22,02,2202,85.6,11.9,64.4
22,03,2203,79.5,17.5,69.6
22,04,2204,82.5,14.4,77.7
22,05,2205,83.2,14.6,66.7
22,06,2206,82.6,14.4,70.6
22,07,2207,84.8,12.2,70.9
22,08,2208,76.6,20.6,69.4
22,09,2209,75.8,20.8,71.5
22,10,2210,83.1,14.2,70.6
22,11,2211,79.5,17.9,75.7
22,12,2212,80.4,17.8,62.8
22,13,2213,82.3,14.9,69.9
22,total,2200,82,15.2,68.8
