year,cbsa,county,geoid,hri,interval
2000,25540,09003,09003004977,1.00368699092,1
2000,19380,39113,39113000202,1.00383352177,1
2000,19804,26163,26163005385,1.00383563228,1
2000,42540,42079,42079002007,1.00425423587,1
2000,42540,42079,42079002010,1.00467768241,1
2000,39300,44007,44007000150,1.00478323431,1
2000,17460,39035,39035001832,1.00499237258,1
2000,39300,44007,44007013702,1.00502544071,1
2000,28140,20091,20091000508,1.00524595261,1
2000,36420,40109,40109001020,1.00538816373,1
2000,35614,36119,36119000067,1.00553733173,1
2000,38300,42003,42003473401,1.00611889156,1
2000,46140,40143,40143004301,1.00708850395,1
2000,31084,06037,06037004306,1.00715662816,1
2000,35614,36119,36119006801,1.00897511394,1
2000,17460,39035,39035187105,1.00900354869,1
2000,36420,40109,40109001021,1.00902464837,1
2000,45780,39095,39095000076,1.01011423674,1
2000,33874,42091,42091202302,1.01026011615,1
2000,48620,20173,20173000010,1.01032980513,1
2000,42540,42079,42079002127,1.01040273901,1
2000,35614,36119,36119002202,1.01046862422,1
2000,31084,06037,06037002621,1.0106928688,1
2000,36540,31055,31055000044,1.01143432346,1
2000,41884,06075,06075000331,1.01163542499,1
2000,35084,34013,34013000194,1.01165857142,1
2000,46140,40143,40143000017,1.01188456245,1
2000,31084,06037,06037001943,1.01238251653,1
2000,29540,42071,42071013503,1.01239821874,1
2000,10580,36001,36001001902,1.01262793754,1
2000,12580,24510,24510270902,1.01331573633,1
2000,33874,42091,42091002043,1.01352688142,1
2000,31084,06037,06037004641,1.01355823023,1
2000,37964,42101,42101000224,1.01436852614,1
2000,35614,36119,36119002201,1.01464560092,1
2000,38300,42003,42003004330,1.01498619432,1
2000,41180,29189,29189002164,1.01562703212,1
2000,12420,48453,48453001606,1.01619308198,1
2000,17460,39035,39035183606,1.01677889861,1
2000,23104,48439,48439001043,1.01742426772,1
2000,37964,42101,42101000116,1.01743589269,1
2000,42540,42079,42079002123,1.01762661634,1
2000,37964,42101,42101000270,1.01767886944,1
2000,33874,42091,42091002025,1.01903563935,1
2000,35614,36061,36061010601,1.01931584362,1
2000,19740,08031,08031004303,1.01945403903,1
2000,37964,42101,42101000208,1.02022351565,1
2000,19780,19153,19153000010,1.02087593063,1
2000,33874,42091,42091002046,1.02175034963,1
2000,33460,27053,27053011704,1.02241177822,1
2000,12580,24510,24510270901,1.02321556513,1
2000,36540,31055,31055000037,1.02396631015,1
2000,12060,13121,13121000099,1.02488868957,1
2000,24660,37081,37081010404,1.02675267012,1
2000,31084,06037,06037481902,1.02677446586,1
2000,15804,34007,34007006020,1.0270081383,1
2000,31140,21111,21111007501,1.02800135717,1
2000,33460,27123,27123000348,1.03004367712,1
2000,35614,36061,36061000273,1.03129486077,1
2000,42340,13051,13051000022,1.03234897936,1
2000,19804,26163,26163005422,1.03258930637,1
2000,44100,17167,17167000021,1.03344921901,1
2000,40380,36055,36055007802,1.03346254015,1
2000,41700,48029,48029001801,1.03560434357,1
2000,45780,39095,39095001304,1.03689987324,1
2000,17140,21037,21037052302,1.03694097703,1
2000,19804,26163,26163005511,1.03816272998,1
2000,26420,48201,48201004107,1.03886304299,1
2000,35614,36005,36005000323,1.03907586065,1
2000,15380,36029,36029008102,1.04045263572,1
2000,18140,39049,39049000065,1.04091187376,1
2000,41740,06073,06073008311,1.04223605613,1
2000,33460,27053,27053011703,1.04544006618,1
2000,36420,40109,40109001017,1.04551533146,1
2000,41740,06073,06073002002,1.0456897823,1
2000,12580,24005,24005490601,1.04626457523,1
2000,35084,34013,34013000195,1.04660845267,1
2000,10420,39153,39153507202,1.04750529624,1
2000,19804,26163,26163005748,1.04760409184,1
2000,31084,06037,06037430701,1.04815677679,1
2000,35084,34013,34013000175,1.0482068892,1
2000,35614,36119,36119000044,1.05109015301,1
2000,12580,24510,24510270903,1.05287716271,1
2000,14860,09001,09001000303,1.05391994517,1
2000,41620,49035,49035001037,1.05409252858,1
2000,16860,47065,47065000030,1.0551538338,1
2000,36084,06001,06001004212,1.05624102697,1
2000,33460,27053,27053000107,1.05774222057,1
2000,19804,26163,26163005012,1.05778745012,1
2000,35084,34013,34013000148,1.0601083408,1
2000,31084,06037,06037004638,1.06033227034,1
2000,38300,42003,42003001402,1.06101300902,1
2000,19380,39113,39113000102,1.06328417394,1
2000,39300,44007,44007000034,1.06356154623,1
2000,15380,36029,36029009402,1.06399246756,1
2000,35084,34013,34013000162,1.06440316836,1
2000,31140,21111,21111000131,1.06506975841,1
2000,43780,18141,18141000016,1.06595165962,1
2000,41740,06073,06073008303,1.07010168989,1
2000,19124,48113,48113000001,1.07015382392,1
2000,35614,36085,36085000039,1.07052108323,1
2000,38300,42003,42003473402,1.0712724294,1
2000,42340,13051,13051000003,1.0712958775800001,1
2000,46140,40143,40143004302,1.07188410065,1
2000,31084,06037,06037004601,1.07584645152,1
2000,12580,24510,24510000902,1.07766096837,1
2000,31084,06037,06037002657,1.07993850915,1
2000,29620,26065,26065000040,1.08018513623,1
2000,30700,31109,31109000023,1.0809369368,1
2000,13140,48245,48245000053,1.08153253473,1
2000,25540,09003,09003004970,1.08174625325,1
2000,12420,48453,48453001402,1.08190708886,1
2000,33874,42091,42091202401,1.0823613996,1
2000,42540,42079,42079002009,1.08270957635,1
2000,19124,48113,48113000198,1.08364872428,1
2000,15380,36029,36029009401,1.08374497492,1
2000,15380,36029,36029009401,1.08374497492,1
2000,33340,55079,55079000351,1.0837794762,1
2000,38300,42003,42003473601,1.0839930475,1
2000,38300,42003,42003001401,1.08599729318,1
2000,47260,51710,51710000017,1.08734012895,1
2000,23844,18089,18089000104,1.08773541238,1
2000,10420,39153,39153520201,1.08804541472,1
2000,38900,41051,41051004601,1.08823110348,1
2000,19124,48113,48113000201,1.08914685094,1
2000,35084,34013,34013000180,1.08934156317,1
